"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro 25 de Junho,070398-01 .,800,5,6,791,802,3,25,830,-30
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro 25 de Junho,070398-02 .,800,1,5,782,788,6,14,808,-8
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro 25 de Junho,070398-03 .,800,3,21,503,527,10,10,547,253
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro 25 de Junho,070398-04 .,636,0,0,644,644,0,0,644,-8
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro Boroma,070390-01 .,400,4,3,335,342,8,3,353,47
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro Catondo,070392-01 .,800,6,17,771,794,14,4,812,-12
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro Catondo,070392-02A .,400,3,11,239,253,11,5,269,131
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro Catondo,070392-02B .,542,2,6,396,404,3,14,421,121
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro Josina Machel,070394-01A .,400,3,6,397,406,0,1,407,-7
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,Bairro Josina Machel,070394-01B .,474,4,12,347,363,15,2,380,94
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC 1º de Junho,070397-01 .,800,8,26,406,440,18,13,471,329
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC 1º de Junho,070397-02 .,800,12,42,426,480,6,3,489,311
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC 1º de Junho,070397-03 .,321,0,2,300,302,0,16,318,3
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC Anexa ao IFP,070382-01 .,800,9,35,503,547,14,10,571,229
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC Anexa ao IFP,070382-02 .,800,6,23,521,550,16,3,569,231
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC Anexa ao IFP,070382-03 .,499,5,27,274,306,13,5,324,175
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cadongolo,070395-01A .,400,1,4,401,406,0,3,409,-9
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cadongolo,070395-01B .,618,0,13,385,398,14,9,421,197
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cahó,070402-01A .,400,0,0,399,399,0,9,408,-8
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cahó,070402-01B .,431,3,2,423,428,2,6,436,-5
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Candodo,070385-01 .,454,2,5,393,400,16,8,424,30
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cawira,070399-01 .,800,9,20,571,600,24,4,628,172
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cawira,070399-02 .,800,7,11,782,800,5,5,810,-10
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,EPC de Cawira,070399-03 .,654,2,6,635,643,0,2,645,9
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,ES do Vale de Chitima,070396-01 .,800,6,13,588,607,8,12,627,173
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,ES do Vale de Chitima,070396-02A .,400,2,8,350,360,0,7,367,33
Tete,CAHORA BASSA,CHITIMA,Chitima - Sede,ES do Vale de Chitima,070396-02B .,458,2,16,292,310,2,9,321,137
