"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,RD,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-01 .,800,13,96,333,5,447,11,9,467,333
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-02 .,800,13,79,338,2,432,17,28,477,323
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-03 .,800,18,120,342,2,482,9,10,501,299
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-04 .,800,23,141,245,1,410,7,7,424,376
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-05 .,800,19,151,176,0,346,4,19,369,431
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-06 .,800,14,88,179,2,283,6,45,334,466
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-07 .,650,16,95,146,3,260,5,3,268,382
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-01 .,800,24,122,302,2,450,14,23,487,313
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-02 .,800,19,136,240,2,397,8,8,413,387
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-03 .,800,27,137,216,3,383,4,16,403,397
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-04A .,400,9,54,128,0,191,0,6,197,203
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-04B .,510,15,97,123,0,235,0,2,237,273
