"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel,070518-01 .,800,28,180,245,453,14,26,493,307
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel,070518-02 .,800,22,186,227,435,10,37,482,318
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel,070518-03 .,800,20,190,250,460,11,11,482,318
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel,070518-04 .,800,21,211,209,441,7,9,457,343
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel,070518-05 .,800,22,172,229,423,9,23,455,345
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel,070518-06 .,699,13,149,116,278,2,27,307,392
Tete,MOATIZE,CIDADE DE MOATIZE,1º De Maio,EPC Josina Machel (B),070517-01 .,790,17,174,156,347,3,6,356,434
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-01 .,800,12,103,377,492,2,26,520,280
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-02 .,800,15,180,252,447,11,5,463,337
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-03 .,800,10,164,241,415,7,21,443,357
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-04 .,800,16,183,222,421,7,9,437,363
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-05 .,800,19,161,217,397,1,3,401,399
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-06 .,800,22,196,189,407,7,9,423,377
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-07A .,400,7,111,134,252,1,3,256,144
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Escola Secudária Heróis Moçambicanos,070503-07B .,573,12,103,377,492,2,26,520,53
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Sala Anexa Mutarara Moatize (Matadouro),070504-01 .,800,14,141,278,433,5,38,476,324
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Sala Anexa Mutarara Moatize (Matadouro),070504-02 .,800,9,152,212,373,17,12,402,398
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Sala Anexa Mutarara Moatize (Matadouro),070504-03 .,800,13,150,274,437,18,11,466,334
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Sala Anexa Mutarara Moatize (Matadouro),070504-04 .,800,17,179,181,377,16,8,401,399
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Sala Anexa Mutarara Moatize (Matadouro),070504-05A .,400,10,30,74,114,0,45,159,241
Tete,MOATIZE,CIDADE DE MOATIZE,25 De Setembro,Sala Anexa Mutarara Moatize (Matadouro),070504-05B .,414,8,80,74,162,6,3,171,243
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira),070499-01 .,800,28,192,299,519,14,9,542,258
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira),070499-02 .,800,19,206,256,481,18,7,506,294
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira),070499-03 .,800,28,201,268,497,12,9,518,282
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira),070499-04 .,800,20,239,204,463,0,15,478,322
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira),070499-05A .,400,20,148,90,258,5,7,270,130
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira),070499-05B .,699,13,114,104,231,5,32,268,431
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira) (B),070500-01 .,800,16,159,207,382,9,6,397,403
Tete,MOATIZE,CIDADE DE MOATIZE,Bagamoio,Unidade 6 (Algodoeira) (B),070500-02 .,711,21,137,172,330,13,6,349,362
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EP1 de Chipanga,070511-01 .,800,16,137,299,452,18,11,481,319
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EP1 de Chipanga,070511-02 .,800,18,171,211,400,8,3,411,389
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EP1 de Chipanga,070511-03 .,800,12,163,230,405,1,28,434,366
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EP1 de Chipanga,070511-04 .,800,14,183,217,414,5,5,424,376
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EP1 de Chipanga,070511-05A .,400,10,93,83,186,1,6,193,207
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EP1 de Chipanga,070511-05B .,553,9,86,103,198,9,28,235,318
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EPC Vera Occhiena,070512-01 .,800,22,158,241,421,6,14,441,359
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EPC Vera Occhiena,070512-02 .,800,19,190,221,430,6,7,443,357
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EPC Vera Occhiena,070512-03 .,800,23,203,199,425,4,10,439,361
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EPC Vera Occhiena,070512-04 .,800,14,141,238,393,6,10,409,391
Tete,MOATIZE,CIDADE DE MOATIZE,Chipanga/Malabwe,EPC Vera Occhiena,070512-05 .,314,13,70,74,157,0,6,163,151
Tete,MOATIZE,CIDADE DE MOATIZE,Chithatha,EPC Chithatha,070519-01 .,800,11,122,402,535,20,18,573,227
Tete,MOATIZE,CIDADE DE MOATIZE,Chithatha,EPC Chithatha,070519-02 .,800,11,139,336,486,13,13,512,288
Tete,MOATIZE,CIDADE DE MOATIZE,Chithatha,EPC Chithatha,070519-03 .,800,16,123,296,435,16,26,477,323
